Reporting Area,MMWR Year,MMWR Week,"Invasive pneumococcal disease, all ages§, Confirmed, Current week","Invasive pneumococcal disease, all ages§, Confirmed, Current week, flag","Invasive pneumococcal disease, all ages§, Confirmed, Previous 52 weeks Max†","Invasive pneumococcal disease, all ages§, Confirmed, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2020†","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2020†, flag","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2019†","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2019†, flag","Invasive pneumococcal disease, all ages§, Probable, Current week","Invasive pneumococcal disease, all ages§, Probable, Current week, flag","Invasive pneumococcal disease, all ages§, Probable, Previous 52 weeks Max†","Invasive pneumococcal disease, all ages§, Probable, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, all ages§, Probable,  Cum 2020†","Invasive pneumococcal disease, all ages§, Probable,  Cum 2020†, flag","Invasive pneumococcal disease, all ages§, Probable,  Cum 2019†","Invasive pneumococcal disease, all ages§, Probable, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
CALIFORNIA,2020,12,,N,,NC,,N,,N,,N,,NC,,N,,N,CALIFORNIA,,20201259,POINT (-119.662127 37.211164)
UTAH,2020,10,6,,12,,62,,66,,,-,1,,,-,1,,UTAH,,20201055,POINT (-111.678222 39.323779)
COLORADO,2020,10,15,,24,,178,,166,,,-,1,,,-,1,,COLORADO,,20201050,POINT (-105.547832 38.998552)
VERMONT,2020,10,,-,5,,13,,8,,,-,0,,,-,1,,VERMONT,,20201008,POINT (-72.662695 44.075252)
KENTUCKY,2020,10,1,,33,,127,,104,,,-,1,,1,,1,,KENTUCKY,,20201040,POINT (-85.290484 37.526683)
PUERTO RICO,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201067,POINT (-66.414655 18.215692)
MAINE,2020,10,2,,9,,37,,57,,,-,0,,,-,,-,MAINE,,20201004,POINT (-69.06137 45.117911)
VIRGINIA,2020,10,,-,3,,5,,5,,,-,0,,,-,,-,VIRGINIA,,20201036,POINT (-78.666382 37.510861)
ARIZONA,2020,10,27,,34,,281,,248,,,-,1,,1,,1,,ARIZONA,,20201049,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,10,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20201064,
WISCONSIN,2020,10,7,,23,,121,,100,,,-,0,,,-,,-,WISCONSIN,,20201019,POINT (-89.732969 44.639954)
IDAHO,2020,10,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20201051,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201068,POINT (-64.840836 18.060868)
MICHIGAN,2020,10,1,,43,,171,,225,,,-,4,,,-,4,,MICHIGAN,,20201017,POINT (-85.730977 44.874798)
GEORGIA,2020,10,11,,42,,194,,247,,,-,0,,,-,,-,GEORGIA,,20201032,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,10,19,,44,,227,,195,,,-,3,,,-,,-,,NEW YORK CITY,20201012,
ARKANSAS,2020,10,8,,33,,97,,89,,,-,1,,1,,,-,ARKANSAS,,20201044,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,10,,-,20,,67,,91,,,-,0,,,-,,-,MISSISSIPPI,,20201041,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,10,2,,5,,29,,24,,,-,2,,,-,1,,SOUTH DAKOTA,,20201027,POINT (-100.230491 44.43614)
WYOMING,2020,10,1,,4,,12,,13,,,-,0,,,-,,-,WYOMING,,20201056,POINT (-107.55145 42.999627)
MISSOURI,2020,10,17,,33,,138,,180,,,-,4,,2,,15,,MISSOURI,,20201024,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,10,43,,127,,562,,613,,,-,6,,21,,16,,,MIDDLE ATLANTIC,20201009,
CALIFORNIA,2020,10,,N,,NC,,N,,N,,N,,NC,,N,,N,CALIFORNIA,,20201059,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,10,,-,17,,53,,84,,,-,1,,1,,,-,WEST VIRGINIA,,20201037,POINT (-80.613729 38.642579)
FLORIDA,2020,10,17,,62,,264,,162,,,-,2,,6,,3,,FLORIDA,,20201031,POINT (-82.420978 28.260731)
MONTANA,2020,10,,-,8,,22,,31,,,-,1,,,-,,-,MONTANA,,20201052,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,10,23,,46,,240,,342,,,-,4,,2,,18,,,WEST NORTH CENTRAL,20201020,
MASSACHUSETTS,2020,10,,-,19,,96,,153,,,-,1,,,-,3,,MASSACHUSETTS,,20201005,POINT (-71.481104 42.151077)
MOUNTAIN,2020,10,56,,93,,727,,730,,,-,2,,1,,3,,,MOUNTAIN,20201048,
INDIANA,2020,10,,-,25,,92,,179,,,-,1,,,-,2,,INDIANA,,20201016,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20201069,
US TERRITORIES,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201063,
WEST VIRGINIA,2020,12,,-,17,,55,,118,,,-,2,,2,,,-,WEST VIRGINIA,,20201237,POINT (-80.613729 38.642579)
FLORIDA,2020,12,16,,62,,298,,209,,,-,2,,6,,3,,FLORIDA,,20201231,POINT (-82.420978 28.260731)
MONTANA,2020,12,,-,8,,22,,37,,,-,1,,,-,,-,MONTANA,,20201252,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,12,13,,46,,284,,414,,1,,4,,4,,19,,,WEST NORTH CENTRAL,20201220,
MASSACHUSETTS,2020,12,,-,19,,96,,167,,,-,1,,,-,3,,MASSACHUSETTS,,20201205,POINT (-71.481104 42.151077)
MOUNTAIN,2020,12,25,,93,,827,,867,,,-,2,,1,,3,,,MOUNTAIN,20201248,
INDIANA,2020,12,2,,27,,124,,227,,,-,0,,,-,2,,INDIANA,,20201216,POINT (-86.2818 39.919991)
US TERRITORIES,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201263,
TOTAL,2020,15,83,,749,,5656,,7371,,5,,13,,101,,109,,,TOTAL,20201570,
US RESIDENTS,2020,15,83,,749,,5656,,7371,,5,,13,,101,,109,,,US RESIDENTS,20201501,
NEW HAMPSHIRE,2020,15,,-,8,,43,,47,,,-,1,,2,,,-,NEW HAMPSHIRE,,20201506,POINT (-71.57139 43.680429)
NEW YORK,2020,15,6,,94,,221,,287,,,-,3,,9,,1,,NEW YORK,,20201511,POINT (-75.59655 42.921241)
PACIFIC,2020,15,2,,9,,23,,105,,,-,0,,,-,2,,,PACIFIC,20201557,
WEST SOUTH CENTRAL,2020,15,6,,274,,638,,995,,,-,4,,6,,7,,,WEST SOUTH CENTRAL,20201543,
NEBRASKA,2020,15,,-,9,,64,,80,,,-,1,,1,,1,,NEBRASKA,,20201525,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,15,6,,78,,638,,780,,,-,2,,4,,4,,,EAST SOUTH CENTRAL,20201538,
NORTH DAKOTA,2020,15,,-,6,,34,,31,,,-,0,,,-,,-,NORTH DAKOTA,,20201526,POINT (-100.46931 47.446305)
NEVADA,2020,15,,-,17,,102,,139,,,-,0,,,-,,-,NEVADA,,20201553,POINT (-114.916992 39.283294)
ILLINOIS,2020,15,,N,,NC,,N,,N,,N,,NC,,N,,N,ILLINOIS,,20201515,POINT (-89.148632 40.124144)
IOWA,2020,15,,N,,NC,,N,,N,,N,,NC,,N,,N,IOWA,,20201521,POINT (-93.500061 42.074659)
TEXAS,2020,15,2,,226,,369,,666,,,-,4,,5,,7,,TEXAS,,20201547,POINT (-99.317341 31.447238)
ALASKA,2020,15,,-,6,,,-,56,,,-,0,,,-,2,,ALASKA,,20201558,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,15,2,,6,,34,,16,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20201530,POINT (-77.016275 38.904785)
WASHINGTON,2020,15,,N,,NC,,N,,N,,N,,NC,,N,,N,WASHINGTON,,20201562,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,15,,-,40,,307,,466,,,-,1,,2,,4,,,NEW ENGLAND,20201502,
RHODE ISLAND,2020,15,,-,8,,9,,22,,,-,1,,,-,,-,RHODE ISLAND,,20201507,POINT (-71.534637 41.572574)
OREGON,2020,15,,N,,NC,,N,,N,,N,,NC,,N,,N,OREGON,,20201561,POINT (-120.605279 43.940449)
DELAWARE,2020,15,,-,6,,16,,20,,,-,1,,,-,,-,DELAWARE,,20201529,POINT (-75.452394 38.994926)
ALABAMA,2020,15,1,,17,,140,,184,,,-,0,,,-,1,,ALABAMA,,20201539,POINT (-86.844516 32.756889)
KANSAS,2020,15,,-,8,,,-,96,,,-,1,,,-,2,,KANSAS,,20201522,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,15,,N,,NC,,N,,N,,N,,NC,,N,,N,NORTH CAROLINA,,20201534,POINT (-79.130883 35.52603)
GUAM,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201566,POINT (144.653198 13.3532)
NEW JERSEY,2020,15,1,,32,,232,,238,,2,,3,,17,,19,,NEW JERSEY,,20201510,POINT (-74.655514 40.110253)
NEW MEXICO,2020,15,,-,19,,114,,151,,,-,0,,,-,,-,NEW MEXICO,,20201554,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,15,14,,156,,1076,,1345,,2,,6,,28,,33,,,EAST NORTH CENTRAL,20201514,
TENNESSEE,2020,15,,-,28,,258,,292,,,-,2,,2,,2,,TENNESSEE,,20201542,POINT (-86.343226 35.842998)
CONNECTICUT,2020,15,,-,10,,40,,106,,,-,0,,,-,,-,CONNECTICUT,,20201503,POINT (-72.738288 41.575155)
MARYLAND,2020,15,2,,21,,161,,199,,,-,1,,,-,,-,MARYLAND,,20201533,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,15,,-,34,,76,,222,,,-,2,,3,,4,,SOUTH CAROLINA,,20201535,POINT (-80.864614 33.878572)
OKLAHOMA,2020,15,,N,,NC,,N,,N,,N,,NC,,N,,N,OKLAHOMA,,20201546,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201565,POINT (145.725693 15.1834)
OHIO,2020,15,11,,62,,515,,545,,2,,5,,27,,22,,OHIO,,20201518,POINT (-82.70936 40.415534)
MINNESOTA,2020,15,,-,12,,,-,11,,,-,0,,,-,,-,MINNESOTA,,20201523,POINT (-94.198308 46.349153)
LOUISIANA,2020,15,1,,24,,141,,182,,,-,1,,,-,,-,LOUISIANA,,20201545,POINT (-91.840238 30.921314)
HAWAII,2020,15,2,,5,,23,,49,,,-,0,,,-,,-,HAWAII,,20201560,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,15,21,,143,,957,,1243,,1,,4,,12,,9,,,SOUTH ATLANTIC,20201528,
PENNSYLVANIA,2020,15,,-,13,,61,,85,,,-,1,,2,,2,,PENNSYLVANIA,,20201513,POINT (-77.838886 40.896694)
UTAH,2020,15,,-,12,,86,,83,,,-,1,,,-,1,,UTAH,,20201555,POINT (-111.678222 39.323779)
COLORADO,2020,15,,-,24,,220,,245,,,-,0,,,-,1,,COLORADO,,20201550,POINT (-105.547832 38.998552)
VERMONT,2020,15,,-,5,,17,,15,,,-,0,,,-,1,,VERMONT,,20201508,POINT (-72.662695 44.075252)
KENTUCKY,2020,15,1,,33,,140,,164,,,-,2,,2,,1,,KENTUCKY,,20201540,POINT (-85.290484 37.526683)
PUERTO RICO,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201567,POINT (-66.414655 18.215692)
MAINE,2020,15,,-,9,,51,,79,,,-,0,,,-,,-,MAINE,,20201504,POINT (-69.06137 45.117911)
VIRGINIA,2020,15,,-,3,,6,,7,,,-,0,,,-,,-,VIRGINIA,,20201536,POINT (-78.666382 37.510861)
ARIZONA,2020,15,8,,34,,352,,337,,,-,1,,2,,1,,ARIZONA,,20201549,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,15,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20201564,
WISCONSIN,2020,15,3,,23,,165,,158,,,-,0,,,-,,-,WISCONSIN,,20201519,POINT (-89.732969 44.639954)
IDAHO,2020,15,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20201551,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201568,POINT (-64.840836 18.060868)
MICHIGAN,2020,15,,-,44,,221,,361,,,-,4,,1,,9,,MICHIGAN,,20201517,POINT (-85.730977 44.874798)
GEORGIA,2020,15,3,,44,,266,,356,,,-,0,,,-,,-,GEORGIA,,20201532,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,15,17,,42,,293,,291,,,-,10,,15,,3,,,NEW YORK CITY,20201512,
ARKANSAS,2020,15,3,,33,,128,,147,,,-,1,,1,,,-,ARKANSAS,,20201544,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,15,4,,20,,100,,140,,,-,0,,,-,,-,MISSISSIPPI,,20201541,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,15,,-,5,,29,,37,,,-,2,,,-,1,,SOUTH DAKOTA,,20201527,POINT (-100.230491 44.43614)
WYOMING,2020,15,,-,4,,12,,18,,,-,0,,,-,,-,WYOMING,,20201556,POINT (-107.55145 42.999627)
MISSOURI,2020,15,,-,33,,167,,267,,,-,4,,3,,18,,MISSOURI,,20201524,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,15,24,,127,,807,,901,,2,,12,,43,,25,,,MIDDLE ATLANTIC,20201509,
CALIFORNIA,2020,15,,N,,NC,,N,,N,,N,,NC,,N,,N,CALIFORNIA,,20201559,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,15,,-,16,,57,,141,,,-,2,,2,,,-,WEST VIRGINIA,,20201537,POINT (-80.613729 38.642579)
FLORIDA,2020,15,14,,62,,341,,282,,1,,2,,7,,5,,FLORIDA,,20201531,POINT (-82.420978 28.260731)
MONTANA,2020,15,2,,8,,30,,41,,,-,1,,,-,,-,MONTANA,,20201552,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,15,,-,46,,294,,522,,,-,4,,4,,22,,,WEST NORTH CENTRAL,20201520,
MASSACHUSETTS,2020,15,,-,19,,147,,197,,,-,1,,,-,3,,MASSACHUSETTS,,20201505,POINT (-71.481104 42.151077)
MOUNTAIN,2020,15,10,,93,,916,,1014,,,-,2,,2,,3,,,MOUNTAIN,20201548,
INDIANA,2020,15,,-,28,,175,,281,,,-,0,,,-,2,,INDIANA,,20201516,POINT (-86.2818 39.919991)
TOTAL,2020,11,196,,744,,4600,,5399,,7,,13,,71,,83,,,TOTAL,20201170,
US RESIDENTS,2020,11,196,,744,,4600,,5399,,7,,13,,71,,83,,,US RESIDENTS,20201101,
NEW HAMPSHIRE,2020,11,2,,8,,29,,36,,1,,0,,1,,,-,NEW HAMPSHIRE,,20201106,POINT (-71.57139 43.680429)
NEW YORK,2020,11,18,,94,,179,,203,,,-,3,,7,,1,,NEW YORK,,20201111,POINT (-75.59655 42.921241)
PACIFIC,2020,11,,-,11,,13,,73,,,-,0,,,-,2,,,PACIFIC,20201157,
WEST SOUTH CENTRAL,2020,11,23,,273,,566,,707,,1,,4,,6,,3,,,WEST SOUTH CENTRAL,20201143,
NEBRASKA,2020,11,2,,9,,54,,55,,,-,1,,1,,1,,NEBRASKA,,20201125,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,11,15,,76,,496,,589,,1,,2,,3,,3,,,EAST SOUTH CENTRAL,20201138,
NORTH DAKOTA,2020,11,1,,6,,28,,20,,,-,0,,,-,,-,NORTH DAKOTA,,20201126,POINT (-100.46931 47.446305)
NEVADA,2020,11,1,,17,,91,,109,,,-,0,,,-,,-,NEVADA,,20201153,POINT (-114.916992 39.283294)
ILLINOIS,2020,11,,N,,NC,,N,,N,,N,,NC,,N,,N,ILLINOIS,,20201115,POINT (-89.148632 40.124144)
IOWA,2020,11,,N,,NC,,N,,N,,N,,NC,,N,,N,IOWA,,20201121,POINT (-93.500061 42.074659)
TEXAS,2020,11,11,,225,,336,,470,,1,,4,,5,,3,,TEXAS,,20201147,POINT (-99.317341 31.447238)
ALASKA,2020,11,,-,6,,,-,40,,,-,0,,,-,2,,ALASKA,,20201158,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,11,,-,5,,21,,12,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20201130,POINT (-77.016275 38.904785)
WASHINGTON,2020,11,,N,,NC,,N,,N,,N,,NC,,N,,N,WASHINGTON,,20201162,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,11,5,,40,,234,,356,,1,,1,,1,,4,,,NEW ENGLAND,20201102,
RHODE ISLAND,2020,11,,-,8,,9,,18,,,-,1,,,-,,-,RHODE ISLAND,,20201107,POINT (-71.534637 41.572574)
OREGON,2020,11,,N,,NC,,N,,N,,N,,NC,,N,,N,OREGON,,20201161,POINT (-120.605279 43.940449)
DELAWARE,2020,11,,-,6,,16,,16,,,-,1,,,-,,-,DELAWARE,,20201129,POINT (-75.452394 38.994926)
ALABAMA,2020,11,,-,17,,84,,154,,,-,0,,,-,1,,ALABAMA,,20201139,POINT (-86.844516 32.756889)
KANSAS,2020,11,,-,10,,,-,76,,,-,1,,,-,1,,KANSAS,,20201122,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,11,,N,,NC,,N,,N,,N,,NC,,N,,N,NORTH CAROLINA,,20201134,POINT (-79.130883 35.52603)
GUAM,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201166,POINT (144.653198 13.3532)
NEW JERSEY,2020,11,3,,29,,135,,184,,,-,3,,12,,15,,NEW JERSEY,,20201110,POINT (-74.655514 40.110253)
NEW MEXICO,2020,11,2,,18,,99,,115,,,-,0,,,-,,-,NEW MEXICO,,20201154,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,11,40,,156,,853,,933,,4,,6,,25,,26,,,EAST NORTH CENTRAL,20201114,
TENNESSEE,2020,11,9,,28,,201,,219,,1,,2,,2,,1,,TENNESSEE,,20201142,POINT (-86.343226 35.842998)
CONNECTICUT,2020,11,,-,14,,40,,73,,,-,0,,,-,,-,CONNECTICUT,,20201103,POINT (-72.738288 41.575155)
NON-US RESIDENTS,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20201569,
US TERRITORIES,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201563,
TOTAL,2020,18,34,,809,,6181,,8599,,3,,13,,112,,125,,,TOTAL,20201870,
US RESIDENTS,2020,18,34,,809,,6181,,8599,,3,,13,,112,,125,,,US RESIDENTS,20201801,
NEW HAMPSHIRE,2020,18,1,,8,,46,,55,,,-,1,,2,,,-,NEW HAMPSHIRE,,20201806,POINT (-71.57139 43.680429)
NEW YORK,2020,18,8,,94,,245,,363,,,-,3,,8,,1,,NEW YORK,,20201811,POINT (-75.59655 42.921241)
MARYLAND,2020,11,6,,21,,139,,143,,,-,1,,,-,,-,MARYLAND,,20201133,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,11,,-,34,,76,,165,,,-,2,,3,,3,,SOUTH CAROLINA,,20201135,POINT (-80.864614 33.878572)
OKLAHOMA,2020,11,,N,,NC,,N,,N,,N,,NC,,N,,N,OKLAHOMA,,20201146,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201165,POINT (145.725693 15.1834)
OHIO,2020,11,34,,63,,425,,366,,4,,5,,25,,18,,OHIO,,20201118,POINT (-82.70936 40.415534)
MINNESOTA,2020,11,,-,12,,,-,5,,,-,0,,,-,,-,MINNESOTA,,20201123,POINT (-94.198308 46.349153)
LOUISIANA,2020,11,7,,24,,128,,136,,,-,1,,,-,,-,LOUISIANA,,20201145,POINT (-91.840238 30.921314)
HAWAII,2020,11,,-,8,,13,,33,,,-,0,,,-,,-,HAWAII,,20201160,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,11,34,,143,,799,,890,,,-,4,,11,,6,,,SOUTH ATLANTIC,20201128,
PENNSYLVANIA,2020,11,,-,13,,50,,68,,,-,1,,2,,1,,PENNSYLVANIA,,20201113,POINT (-77.838886 40.896694)
UTAH,2020,11,5,,12,,69,,72,,,-,1,,,-,1,,UTAH,,20201155,POINT (-111.678222 39.323779)
COLORADO,2020,11,18,,24,,196,,189,,,-,0,,,-,1,,COLORADO,,20201150,POINT (-105.547832 38.998552)
VERMONT,2020,11,,-,5,,14,,9,,,-,0,,,-,1,,VERMONT,,20201108,POINT (-72.662695 44.075252)
KENTUCKY,2020,11,,-,33,,127,,112,,,-,1,,1,,1,,KENTUCKY,,20201140,POINT (-85.290484 37.526683)
PUERTO RICO,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201167,POINT (-66.414655 18.215692)
MAINE,2020,11,3,,9,,46,,61,,,-,0,,,-,,-,MAINE,,20201104,POINT (-69.06137 45.117911)
VIRGINIA,2020,11,,-,3,,5,,6,,,-,0,,,-,,-,VIRGINIA,,20201136,POINT (-78.666382 37.510861)
ARIZONA,2020,11,16,,34,,297,,269,,,-,1,,1,,1,,ARIZONA,,20201149,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,11,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20201164,
WISCONSIN,2020,11,5,,23,,132,,115,,,-,0,,,-,,-,WISCONSIN,,20201119,POINT (-89.732969 44.639954)
IDAHO,2020,11,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20201151,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201168,POINT (-64.840836 18.060868)
MICHIGAN,2020,11,1,,43,,184,,248,,,-,4,,,-,6,,MICHIGAN,,20201117,POINT (-85.730977 44.874798)
GEORGIA,2020,11,10,,42,,205,,264,,,-,0,,,-,,-,GEORGIA,,20201132,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,11,13,,44,,240,,213,,,-,3,,,-,,-,,NEW YORK CITY,20201112,
ARKANSAS,2020,11,5,,33,,102,,101,,,-,1,,1,,,-,ARKANSAS,,20201144,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,11,6,,20,,84,,104,,,-,0,,,-,,-,MISSISSIPPI,,20201141,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,11,,-,5,,29,,26,,,-,2,,,-,1,,SOUTH DAKOTA,,20201127,POINT (-100.230491 44.43614)
WYOMING,2020,11,,-,4,,12,,15,,,-,0,,,-,,-,WYOMING,,20201156,POINT (-107.55145 42.999627)
MISSOURI,2020,11,,-,33,,138,,197,,,-,4,,2,,16,,MISSOURI,,20201124,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,11,34,,127,,604,,668,,,-,6,,21,,17,,,MIDDLE ATLANTIC,20201109,
CALIFORNIA,2020,11,,N,,NC,,N,,N,,N,,NC,,N,,N,CALIFORNIA,,20201159,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,11,,-,17,,55,,101,,,-,2,,2,,,-,WEST VIRGINIA,,20201137,POINT (-80.613729 38.642579)
FLORIDA,2020,11,18,,62,,282,,183,,,-,2,,6,,3,,FLORIDA,,20201131,POINT (-82.420978 28.260731)
MONTANA,2020,11,,-,8,,22,,35,,,-,1,,,-,,-,MONTANA,,20201152,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,11,3,,46,,249,,379,,,-,4,,3,,19,,,WEST NORTH CENTRAL,20201120,
MASSACHUSETTS,2020,11,,-,19,,96,,159,,,-,1,,,-,3,,MASSACHUSETTS,,20201105,POINT (-71.481104 42.151077)
MOUNTAIN,2020,11,42,,93,,786,,804,,,-,2,,1,,3,,,MOUNTAIN,20201148,
INDIANA,2020,11,,-,27,,112,,204,,,-,0,,,-,2,,INDIANA,,20201116,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20201169,
US TERRITORIES,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201163,
PACIFIC,2020,18,,-,11,,90,,115,,,-,2,,5,,2,,,PACIFIC,20201857,
WEST SOUTH CENTRAL,2020,18,,-,273,,723,,1163,,,-,4,,8,,7,,,WEST SOUTH CENTRAL,20201843,
NEBRASKA,2020,18,,-,9,,67,,89,,,-,1,,1,,1,,NEBRASKA,,20201825,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,18,1,,77,,681,,907,,,-,2,,4,,6,,,EAST SOUTH CENTRAL,20201838,
NORTH DAKOTA,2020,18,,-,6,,35,,39,,,-,0,,,-,,-,NORTH DAKOTA,,20201826,POINT (-100.46931 47.446305)
NEVADA,2020,18,,-,16,,103,,173,,,-,0,,,-,,-,NEVADA,,20201853,POINT (-114.916992 39.283294)
ILLINOIS,2020,18,,N,,NC,,N,,N,,N,,NC,,N,,N,ILLINOIS,,20201815,POINT (-89.148632 40.124144)
IOWA,2020,18,,N,,NC,,N,,N,,N,,NC,,N,,N,IOWA,,20201821,POINT (-93.500061 42.074659)
TEXAS,2020,18,,-,225,,457,,781,,,-,4,,7,,7,,TEXAS,,20201847,POINT (-99.317341 31.447238)
ALASKA,2020,18,,-,9,,65,,61,,,-,2,,5,,2,,ALASKA,,20201858,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,18,,-,6,,31,,21,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20201830,POINT (-77.016275 38.904785)
WASHINGTON,2020,18,,N,,NC,,N,,N,,N,,NC,,N,,N,WASHINGTON,,20201862,POINT (-120.592492 47.411715)
TOTAL,2020,13,141,,747,,5196,,6401,,6,,13,,79,,93,,,TOTAL,20201370,
US RESIDENTS,2020,13,141,,747,,5196,,6401,,6,,13,,79,,93,,,US RESIDENTS,20201301,
NEW HAMPSHIRE,2020,13,1,,8,,39,,42,,,-,1,,2,,,-,NEW HAMPSHIRE,,20201306,POINT (-71.57139 43.680429)
NEW YORK,2020,13,8,,94,,207,,245,,1,,3,,8,,1,,NEW YORK,,20201311,POINT (-75.59655 42.921241)
WEST SOUTH CENTRAL,2020,13,11,,273,,594,,860,,,-,4,,6,,5,,,WEST SOUTH CENTRAL,20201343,
NEBRASKA,2020,13,5,,9,,62,,66,,,-,1,,1,,1,,NEBRASKA,,20201325,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,13,13,,78,,596,,686,,,-,2,,4,,3,,,EAST SOUTH CENTRAL,20201338,
NORTH DAKOTA,2020,13,1,,6,,33,,26,,,-,0,,,-,,-,NORTH DAKOTA,,20201326,POINT (-100.46931 47.446305)
NEVADA,2020,13,,-,17,,100,,120,,,-,0,,,-,,-,NEVADA,,20201353,POINT (-114.916992 39.283294)
ILLINOIS,2020,13,,N,,NC,,N,,N,,N,,NC,,N,,N,ILLINOIS,,20201315,POINT (-89.148632 40.124144)
IOWA,2020,13,,N,,NC,,N,,N,,N,,NC,,N,,N,IOWA,,20201321,POINT (-93.500061 42.074659)
