Reporting Area,MMWR Year,MMWR Week,"Mumps, Current week","Mumps, Current week, flag","Mumps, Previous 52 weeks Max†","Mumps, Previous 52 weeks Max†, flag","Mumps, Cum 2020†","Mumps, Cum 2020†, flag","Mumps, Cum 2019†","Mumps, Cum 2019†, flag","Novel influenza A virus infections§, Current week","Novel influenza A virus infections§, Current week, flag","Novel influenza A virus infections§, Previous 52 weeks Max†","Novel influenza A virus infections§, Previous 52 weeks Max†, flag","Novel influenza A virus infections§, Cum 2020†","Novel influenza A virus infections§, Cum 2020†, flag","Novel influenza A virus infections§, Cum 2019†","Novel influenza A virus infections§, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
NEW HAMPSHIRE,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20200506,POINT (-71.57139 43.680429)
NEW YORK,2020,5,3,,4,,8,,2,,,-,0,,,-,,-,NEW YORK,,20200511,POINT (-75.59655 42.921241)
PACIFIC,2020,5,,-,28,,10,,14,,,-,0,,,-,,-,,PACIFIC,20200557,
WEST SOUTH CENTRAL,2020,5,,-,57,,1,,40,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200543,
US RESIDENTS,2020,2,10,,110,,23,,52,,,-,0,,,-,,-,,US RESIDENTS,20200201,
US RESIDENTS,2020,4,8,,110,,70,,126,,,-,0,,,-,,-,,US RESIDENTS,20200401,
NEBRASKA,2020,5,,-,19,,,-,3,,,-,0,,,-,,-,NEBRASKA,,20200525,POINT (-99.810595 41.527099)
US RESIDENTS,2020,3,7,,110,,49,,97,,,-,0,,,-,,-,,US RESIDENTS,20200301,
NEW HAMPSHIRE,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20200306,POINT (-71.57139 43.680429)
NEW YORK,2020,3,2,,4,,3,,2,,,-,0,,,-,,-,NEW YORK,,20200311,POINT (-75.59655 42.921241)
PACIFIC,2020,3,,-,28,,6,,8,,,-,0,,,-,,-,,PACIFIC,20200357,
WEST SOUTH CENTRAL,2020,3,,-,57,,,-,24,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200343,
NEBRASKA,2020,3,,-,19,,,-,3,,,-,0,,,-,,-,NEBRASKA,,20200325,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,3,,-,21,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200338,
NORTH DAKOTA,2020,3,,-,3,,,-,3,,,-,0,,,-,,-,NORTH DAKOTA,,20200326,POINT (-100.46931 47.446305)
NEVADA,2020,3,,-,0,,,-,1,,,-,0,,,-,,-,NEVADA,,20200353,POINT (-114.916992 39.283294)
ILLINOIS,2020,3,,-,7,,,-,12,,,-,0,,,-,,-,ILLINOIS,,20200315,POINT (-89.148632 40.124144)
IOWA,2020,3,,-,2,,,-,2,,,-,0,,,-,,-,IOWA,,20200321,POINT (-93.500061 42.074659)
TEXAS,2020,3,,-,42,,,-,15,,,-,0,,,-,,-,TEXAS,,20200347,POINT (-99.317341 31.447238)
ALASKA,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,ALASKA,,20200358,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200330,POINT (-77.016275 38.904785)
WASHINGTON,2020,3,,-,4,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20200362,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,3,,-,8,,7,,10,,,-,0,,,-,,-,,NEW ENGLAND,20200302,
RHODE ISLAND,2020,3,,-,2,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20200307,POINT (-71.534637 41.572574)
OREGON,2020,3,,-,5,,1,,,-,,-,0,,,-,,-,OREGON,,20200361,POINT (-120.605279 43.940449)
DELAWARE,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200329,POINT (-75.452394 38.994926)
ALABAMA,2020,3,,-,2,,,-,,-,,-,0,,,-,,-,ALABAMA,,20200339,POINT (-86.844516 32.756889)
KANSAS,2020,3,,-,2,,,-,,-,,-,0,,,-,,-,KANSAS,,20200322,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,3,,-,18,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,20200334,POINT (-79.130883 35.52603)
GUAM,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200366,POINT (144.653198 13.3532)
NEW JERSEY,2020,3,,-,5,,,-,1,,,-,0,,,-,,-,NEW JERSEY,,20200310,POINT (-74.655514 40.110253)
NEW MEXICO,2020,3,,-,8,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20200354,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,3,,-,17,,1,,24,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20200314,
TENNESSEE,2020,3,,-,21,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20200342,POINT (-86.343226 35.842998)
CONNECTICUT,2020,3,,-,5,,6,,,-,,-,0,,,-,,-,CONNECTICUT,,20200303,POINT (-72.738288 41.575155)
MARYLAND,2020,3,,-,3,,,-,,-,,-,0,,,-,,-,MARYLAND,,20200333,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,3,2,,19,,8,,1,,,-,0,,,-,,-,SOUTH CAROLINA,,20200335,POINT (-80.864614 33.878572)
OKLAHOMA,2020,3,,-,2,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,20200346,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200365,POINT (145.725693 15.1834)
OHIO,2020,3,,-,9,,1,,10,,,-,0,,,-,,-,OHIO,,20200318,POINT (-82.70936 40.415534)
MINNESOTA,2020,3,,-,6,,,-,1,,,-,0,,,-,,-,MINNESOTA,,20200323,POINT (-94.198308 46.349153)
LOUISIANA,2020,3,,-,19,,,-,9,,,-,0,,,-,,-,LOUISIANA,,20200345,POINT (-91.840238 30.921314)
HAWAII,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,HAWAII,,20200360,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,3,3,,28,,12,,3,,,-,0,,,-,,-,,SOUTH ATLANTIC,20200328,
PENNSYLVANIA,2020,3,1,,50,,8,,2,,,-,0,,,-,,-,PENNSYLVANIA,,20200313,POINT (-77.838886 40.896694)
UTAH,2020,3,,-,4,,,-,3,,,-,0,,,-,,-,UTAH,,20200355,POINT (-111.678222 39.323779)
COLORADO,2020,3,1,,6,,1,,4,,,-,0,,,-,,-,COLORADO,,20200350,POINT (-105.547832 38.998552)
VERMONT,2020,3,,-,1,,1,,2,,,-,0,,,-,,-,VERMONT,,20200308,POINT (-72.662695 44.075252)
KENTUCKY,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,KENTUCKY,,20200340,POINT (-85.290484 37.526683)
PUERTO RICO,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200367,POINT (-66.414655 18.215692)
MAINE,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,MAINE,,20200304,POINT (-69.06137 45.117911)
VIRGINIA,2020,3,1,,5,,2,,,-,,-,0,,,-,,-,VIRGINIA,,20200336,POINT (-78.666382 37.510861)
ARIZONA,2020,3,,-,10,,2,,1,,,-,0,,,-,,-,ARIZONA,,20200349,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200364,
WISCONSIN,2020,3,,-,6,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20200319,POINT (-89.732969 44.639954)
IDAHO,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,IDAHO,,20200351,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200368,POINT (-64.840836 18.060868)
MICHIGAN,2020,3,,-,4,,,-,1,,,-,0,,,-,,-,MICHIGAN,,20200317,POINT (-85.730977 44.874798)
GEORGIA,2020,3,,-,2,,,-,,-,,-,0,,,-,,-,GEORGIA,,20200332,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,3,,-,7,,2,,4,,,-,0,,,-,,-,,NEW YORK CITY,20200312,
NEW ENGLAND,2020,2,1,,8,,3,,9,,,-,0,,,-,,-,,NEW ENGLAND,20200202,
CONNECTICUT,2020,2,,-,5,,2,,,-,,-,0,,,-,,-,CONNECTICUT,,20200203,POINT (-72.738288 41.575155)
MAINE,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,MAINE,,20200204,POINT (-69.06137 45.117911)
MASSACHUSETTS,2020,2,,-,5,,,-,7,,,-,0,,,-,,-,MASSACHUSETTS,,20200205,POINT (-71.481104 42.151077)
NEW HAMPSHIRE,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20200206,POINT (-71.57139 43.680429)
RHODE ISLAND,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20200207,POINT (-71.534637 41.572574)
VERMONT,2020,2,1,,1,,1,,2,,,-,0,,,-,,-,VERMONT,,20200208,POINT (-72.662695 44.075252)
MIDDLE ATLANTIC,2020,2,1,,55,,7,,4,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20200209,
NEW JERSEY,2020,2,,-,5,,,-,1,,,-,0,,,-,,-,NEW JERSEY,,20200210,POINT (-74.655514 40.110253)
NEW YORK,2020,2,1,,4,,1,,2,,,-,0,,,-,,-,NEW YORK,,20200211,POINT (-75.59655 42.921241)
NEW YORK CITY,2020,2,,-,7,,,-,1,,,-,0,,,-,,-,,NEW YORK CITY,20200212,
PENNSYLVANIA,2020,2,,-,50,,6,,,-,,-,0,,,-,,-,PENNSYLVANIA,,20200213,POINT (-77.838886 40.896694)
EAST NORTH CENTRAL,2020,2,,-,17,,1,,8,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20200214,
ILLINOIS,2020,2,,-,7,,,-,5,,,-,0,,,-,,-,ILLINOIS,,20200215,POINT (-89.148632 40.124144)
INDIANA,2020,2,,-,13,,,-,1,,,-,0,,,-,,-,INDIANA,,20200216,POINT (-86.2818 39.919991)
MICHIGAN,2020,2,,-,4,,,-,1,,,-,0,,,-,,-,MICHIGAN,,20200217,POINT (-85.730977 44.874798)
OHIO,2020,2,,-,9,,1,,1,,,-,0,,,-,,-,OHIO,,20200218,POINT (-82.70936 40.415534)
WISCONSIN,2020,2,,-,6,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20200219,POINT (-89.732969 44.639954)
WEST NORTH CENTRAL,2020,2,4,,23,,7,,8,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200220,
IOWA,2020,2,,-,2,,,-,1,,,-,0,,,-,,-,IOWA,,20200221,POINT (-93.500061 42.074659)
KANSAS,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,KANSAS,,20200222,POINT (-98.38018 38.484729)
MINNESOTA,2020,2,,-,6,,,-,1,,,-,0,,,-,,-,MINNESOTA,,20200223,POINT (-94.198308 46.349153)
MISSOURI,2020,2,4,,15,,7,,1,,,-,0,,,-,,-,MISSOURI,,20200224,POINT (-92.477244 38.3675)
NEBRASKA,2020,2,,-,19,,,-,3,,,-,0,,,-,,-,NEBRASKA,,20200225,POINT (-99.810595 41.527099)
NORTH DAKOTA,2020,2,,-,3,,,-,2,,,-,0,,,-,,-,NORTH DAKOTA,,20200226,POINT (-100.46931 47.446305)
SOUTH DAKOTA,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20200227,POINT (-100.230491 44.43614)
SOUTH ATLANTIC,2020,2,2,,28,,2,,1,,,-,0,,,-,,-,,SOUTH ATLANTIC,20200228,
DELAWARE,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200229,POINT (-75.452394 38.994926)
DISTRICT OF COLUMBIA,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200230,POINT (-77.016275 38.904785)
FLORIDA,2020,2,2,,21,,2,,,-,,-,0,,,-,,-,FLORIDA,,20200231,POINT (-82.420978 28.260731)
GEORGIA,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,GEORGIA,,20200232,POINT (-83.426574 32.638481)
MARYLAND,2020,2,,-,3,,,-,,-,,-,0,,,-,,-,MARYLAND,,20200233,POINT (-76.687282 38.946466)
NORTH CAROLINA,2020,2,,-,18,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,20200234,POINT (-79.130883 35.52603)
SOUTH CAROLINA,2020,2,,-,19,,,-,1,,,-,0,,,-,,-,SOUTH CAROLINA,,20200235,POINT (-80.864614 33.878572)
VIRGINIA,2020,2,,-,5,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20200236,POINT (-78.666382 37.510861)
WEST VIRGINIA,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,20200237,POINT (-80.613729 38.642579)
EAST SOUTH CENTRAL,2020,2,,-,21,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200238,
ALABAMA,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,ALABAMA,,20200239,POINT (-86.844516 32.756889)
MOUNTAIN,2020,2,2,,13,,2,,3,,,-,0,,,-,,-,,MOUNTAIN,20200248,
ARKANSAS,2020,3,,-,13,,,-,,-,,-,0,,,-,,-,ARKANSAS,,20200344,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,3,,-,5,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20200341,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,3,,-,2,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20200327,POINT (-100.230491 44.43614)
WYOMING,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20200356,POINT (-107.55145 42.999627)
MISSOURI,2020,3,,-,15,,7,,1,,,-,0,,,-,,-,MISSOURI,,20200324,POINT (-92.477244 38.3675)
KENTUCKY,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,KENTUCKY,,20200240,POINT (-85.290484 37.526683)
MISSISSIPPI,2020,2,,-,5,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20200241,POINT (-89.65344 32.713378)
TENNESSEE,2020,2,,-,21,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20200242,POINT (-86.343226 35.842998)
WEST SOUTH CENTRAL,2020,2,,-,57,,,-,15,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200243,
ARKANSAS,2020,2,,-,13,,,-,,-,,-,0,,,-,,-,ARKANSAS,,20200244,POINT (-92.439162 34.899825)
LOUISIANA,2020,2,,-,19,,,-,7,,,-,0,,,-,,-,LOUISIANA,,20200245,POINT (-91.840238 30.921314)
OKLAHOMA,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,20200246,POINT (-97.508297 35.583449)
TEXAS,2020,2,,-,42,,,-,8,,,-,0,,,-,,-,TEXAS,,20200247,POINT (-99.317341 31.447238)
ARIZONA,2020,2,2,,10,,2,,1,,,-,0,,,-,,-,ARIZONA,,20200249,POINT (-111.664616 34.293239)
COLORADO,2020,2,,-,6,,,-,,-,,-,0,,,-,,-,COLORADO,,20200250,POINT (-105.547832 38.998552)
IDAHO,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,IDAHO,,20200251,POINT (-114.659366 44.389073)
MONTANA,2020,2,,-,5,,,-,,-,,-,0,,,-,,-,MONTANA,,20200252,POINT (-109.645127 47.033521)
NEVADA,2020,2,,-,1,,,-,1,,,-,0,,,-,,-,NEVADA,,20200253,POINT (-114.916992 39.283294)
NEW MEXICO,2020,2,,-,8,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20200254,POINT (-106.108388 34.421369)
UTAH,2020,2,,-,4,,,-,1,,,-,0,,,-,,-,UTAH,,20200255,POINT (-111.678222 39.323779)
WYOMING,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20200256,POINT (-107.55145 42.999627)
PACIFIC,2020,2,,-,28,,1,,4,,,-,0,,,-,,-,,PACIFIC,20200257,
ALASKA,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,ALASKA,,20200258,POINT (-151.631889 63.631126)
CALIFORNIA,2020,2,,-,23,,1,,4,,,-,0,,,-,,-,CALIFORNIA,,20200259,POINT (-119.662127 37.211164)
HAWAII,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,HAWAII,,20200260,POINT (-157.854309 21.361013)
OREGON,2020,2,,-,5,,,-,,-,,-,0,,,-,,-,OREGON,,20200261,POINT (-120.605279 43.940449)
WASHINGTON,2020,2,,-,4,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20200262,POINT (-120.592492 47.411715)
US TERRITORIES,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200263,
AMERICAN SAMOA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200264,
NORTHERN MARIANA ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200265,POINT (145.725693 15.1834)
GUAM,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200266,POINT (144.653198 13.3532)
PUERTO RICO,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200267,POINT (-66.414655 18.215692)
